"stem.age","genus"
24.155272,"Medicago"
23.366728,"Trifolium"
14.875558,"Lens"
14.875558,"Vicia"
13.105741,"Pisum"
13.105741,"Lathyrus"
31.819034,"Astragalus"
67.687606,"Copaifera"
26.998112,"Bauhinia"
26.998112,"Cercis"
45.626585,"Cadellia"
45.626585,"Suriana"
10.784679,"Prinsepia"
10.784679,"Oemleria"
50.103876,"Kerria"
7.138702,"Stephanandra"
7.138702,"Physocarpus"
22.444887,"Aruncus"
7.35067,"Petrophytum"
7.35067,"Kelseya"
10.260442,"Pentactina"
12.736348,"Spiraea"
4.090733,"Pyracantha"
3.317078,"Chaenomeles"
3.317078,"Malus"
3.240387,"Sorbus"
3.240387,"Pyrus"
2.283747,"Amelanchier"
2.283747,"Cotoneaster"
5.321104,"Chamaebatiaria"
5.321104,"Sorbaria"
49.4,"Prunus"
49.4,"Cerasus"
14.180499,"Dryas"
14.180499,"Cercocarpus"
41.093844,"Geum"
31.703328,"Rosa"
16.045575,"Alchemilla"
16.045575,"Sibbaldia"
19.381311,"Fragaria"
2.057824,"Sanguisorba"
0.107789,"Marcetella"
0.107789,"Dendriopoterium"
14.015278,"Polylepis"
74.822746,"Elaeagnus"
56.038634,"Ziziphus"
37.668848,"Ventilago"
37.668848,"Rhamnus"
6.185992,"Pourouma"
6.185992,"Cecropia"
29.946082,"Boehmeria"
49.048622,"Urtica"
31.162061,"Morus"
27.90488,"Maclura"
27.90488,"Ficus"
66,"Aphananthe"
43.587679,"Lozanella"
38.367616,"Celtis"
6.509849,"Trema"
6.509849,"Parasponia"
11.320544,"Humulus"
11.320544,"Cannabis"
37.649755,"Pteroceltis"
31.880602,"Holoptelea"
5.540507,"Zelkova"
5.540507,"Ulmus"
93.900001,"Nothofagus"
52.479594,"Fagus"
8.041554,"Trigonobalanus"
5.754037,"Quercus"
5.098836,"Lithocarpus"
4.340814,"Castanopsis"
4.340814,"Castanea"
57.362758,"Casuarina"
15.032103,"Alnus"
15.032103,"Betula"
